CustomerID,FirstPurchase,LastPurchase,Frequency,TotalRevenue,Lifespan,AvgPurchaseValue,CLV,Recency,RevenuePerDay,TenureMonths,CLV_Segment
12346.0,2011-01-18 10:01:00,2011-01-18 10:01:00,1,77183.6,1,77183.6,211.4619178082192,325,77183.6,0.03333333333333333,Medium Value
12347.0,2010-12-07 14:57:00,2011-12-07 15:52:00,182,4310.0,366,23.681318681318682,4321.808219178082,1,11.775956284153006,12.2,High Value
12348.0,2010-12-16 19:09:00,2011-09-25 13:13:00,31,1797.24,283,57.97548387096774,1393.476493150685,74,6.350671378091873,9.433333333333334,High Value
12349.0,2011-11-21 09:51:00,2011-11-21 09:51:00,73,1757.55,1,24.076027397260273,4.815205479452055,18,1757.55,0.03333333333333333,Medium Value
12350.0,2011-02-02 16:01:00,2011-02-02 16:01:00,17,334.4,1,19.670588235294115,0.9161643835616438,309,334.4,0.03333333333333333,Low Value
12352.0,2011-02-16 12:33:00,2011-11-03 14:37:00,85,2506.04,261,29.482823529411764,1791.9902465753423,35,9.601685823754789,8.7,High Value
12353.0,2011-05-19 17:47:00,2011-05-19 17:47:00,4,89.0,1,22.25,0.24383561643835616,203,89.0,0.03333333333333333,Low Value
12354.0,2011-04-21 13:11:00,2011-04-21 13:11:00,58,1079.4,1,18.610344827586207,2.957260273972603,231,1079.4,0.03333333333333333,Medium Value
12355.0,2011-05-09 13:49:00,2011-05-09 13:49:00,13,459.4,1,35.33846153846154,1.2586301369863013,213,459.4,0.03333333333333333,Low Value
12356.0,2011-01-18 09:50:00,2011-11-17 08:40:00,59,2811.43,303,47.65135593220339,2333.8720273972604,22,9.278646864686468,10.1,High Value
12357.0,2011-11-06 16:07:00,2011-11-06 16:07:00,131,6207.67,1,47.38679389312977,17.007315068493153,32,6207.67,0.03333333333333333,Medium Value
12358.0,2011-07-12 10:04:00,2011-12-08 10:26:00,19,1168.06,150,61.47684210526315,480.0246575342465,1,7.787066666666666,5.0,Medium Value
12359.0,2011-01-12 12:43:00,2011-10-13 12:47:00,245,6310.03,275,25.755224489795918,4754.132191780822,57,22.945563636363634,9.166666666666666,High Value
12360.0,2011-05-23 09:43:00,2011-10-18 15:22:00,129,2662.06,149,20.63612403100775,1086.7039452054794,51,17.866174496644295,4.966666666666667,High Value
12361.0,2011-02-25 13:51:00,2011-02-25 13:51:00,10,189.9,1,18.990000000000002,0.5202739726027398,286,189.9,0.03333333333333333,Low Value
12362.0,2011-02-17 10:30:00,2011-12-06 15:40:00,266,5226.23,293,19.647481203007516,4195.302438356164,2,17.836962457337883,9.766666666666667,High Value
12363.0,2011-04-11 13:29:00,2011-08-22 10:18:00,23,552.0,133,24.0,201.13972602739727,109,4.150375939849624,4.433333333333334,Medium Value
12364.0,2011-08-19 15:24:00,2011-12-02 10:22:00,85,1313.1,105,15.448235294117646,377.7410958904109,7,12.505714285714285,3.5,Medium Value
12365.0,2011-02-21 13:51:00,2011-02-21 14:04:00,22,641.38,1,29.153636363636362,1.7572054794520549,290,641.38,0.03333333333333333,Low Value
12367.0,2011-12-05 16:48:00,2011-12-05 16:48:00,11,168.9,1,15.354545454545455,0.46273972602739727,3,168.9,0.03333333333333333,Low Value
12370.0,2010-12-14 12:58:00,2011-10-19 14:51:00,166,3541.94,310,21.33698795180723,3008.2230136986304,50,11.425612903225806,10.333333333333334,High Value
12371.0,2011-10-11 10:43:00,2011-10-26 10:16:00,63,1887.96,15,29.96761904761905,77.58739726027397,44,125.864,0.5,Medium Value
12372.0,2011-02-16 12:46:00,2011-09-29 12:12:00,52,1298.04,225,24.962307692307693,800.1616438356165,71,5.769066666666666,7.5,High Value
12373.0,2011-02-01 13:10:00,2011-02-01 13:10:00,14,364.6,1,26.042857142857144,0.9989041095890412,310,364.6,0.03333333333333333,Low Value
12374.0,2011-11-14 15:37:00,2011-11-14 15:37:00,33,742.9300000000001,1,22.513030303030305,2.035424657534247,24,742.9300000000001,0.03333333333333333,Low Value
12375.0,2011-09-02 14:23:00,2011-11-29 10:36:00,17,457.5,88,26.91176470588235,110.3013698630137,10,5.198863636363637,2.933333333333333,Medium Value
12377.0,2010-12-20 09:37:00,2011-01-28 15:45:00,77,1628.12,40,21.144415584415583,178.42410958904108,314,40.702999999999996,1.3333333333333333,Medium Value
12378.0,2011-08-02 10:34:00,2011-08-02 10:34:00,219,4008.62,1,18.30420091324201,10.982520547945207,129,4008.62,0.03333333333333333,Medium Value
12379.0,2011-06-22 16:32:00,2011-09-19 10:09:00,40,852.24,89,21.306,207.80646575342465,81,9.575730337078651,2.966666666666667,Medium Value
12380.0,2011-06-07 09:49:00,2011-11-18 11:27:00,104,2724.81,165,26.200096153846154,1231.7634246575342,21,16.514,5.5,High Value
12381.0,2011-08-12 09:57:00,2011-12-05 12:44:00,87,1845.31,116,21.21045977011494,586.4546849315069,4,15.907844827586207,3.8666666666666667,High Value
12383.0,2010-12-22 14:28:00,2011-06-08 08:02:00,99,1850.56,168,18.69252525252525,851.7646027397259,184,11.015238095238095,5.6,High Value
12384.0,2011-08-10 11:23:00,2011-11-11 08:39:00,27,585.27,93,21.676666666666666,149.1235890410959,28,6.293225806451613,3.1,Medium Value
12386.0,2010-12-08 09:53:00,2011-01-06 12:37:00,10,401.9,30,40.19,33.032876712328765,337,13.396666666666667,1.0,Medium Value
12388.0,2011-01-17 11:12:00,2011-11-24 12:30:00,100,2780.66,312,27.8066,2376.8929315068494,15,8.912371794871794,10.4,High Value
12390.0,2011-09-21 09:33:00,2011-09-21 09:33:00,32,549.84,1,17.1825,1.5064109589041097,79,549.84,0.03333333333333333,Low Value
12391.0,2011-11-18 12:07:00,2011-11-18 12:07:00,93,439.66,1,4.72752688172043,1.2045479452054795,21,439.66,0.03333333333333333,Low Value
12393.0,2011-01-11 09:47:00,2011-09-28 15:41:00,64,1582.6000000000001,261,24.728125000000002,1131.667397260274,71,6.06360153256705,8.7,High Value
12394.0,2011-05-06 14:01:00,2011-10-07 08:08:00,27,1272.48,154,47.12888888888889,536.8819726027397,63,8.262857142857143,5.133333333333334,Medium Value
12395.0,2010-12-03 16:35:00,2011-11-20 15:21:00,156,3018.63,352,19.350192307692307,2911.117150684932,18,8.57565340909091,11.733333333333333,High Value
12397.0,2011-07-27 14:21:00,2011-11-04 09:52:00,126,2409.9,100,19.126190476190477,660.2465753424657,35,24.099,3.3333333333333335,High Value
12398.0,2011-10-25 10:27:00,2011-10-25 10:27:00,85,1635.6599999999999,1,19.24305882352941,4.481260273972603,45,1635.6599999999999,0.03333333333333333,Medium Value
12399.0,2011-03-23 09:42:00,2011-08-12 13:15:00,59,1108.65,143,18.790677966101697,434.3478082191781,118,7.752797202797203,4.766666666666667,Medium Value
12401.0,2011-02-09 13:50:00,2011-02-09 13:50:00,5,84.3,1,16.86,0.23095890410958902,302,84.3,0.03333333333333333,Low Value
12402.0,2011-01-20 13:49:00,2011-01-20 13:49:00,11,225.6,1,20.509090909090908,0.6180821917808219,322,225.6,0.03333333333333333,Low Value
12403.0,2011-10-21 10:51:00,2011-10-21 10:51:00,5,427.7,1,85.53999999999999,1.171780821917808,49,427.7,0.03333333333333333,Low Value
12405.0,2011-07-14 08:52:00,2011-07-14 08:52:00,54,1710.39,1,31.67388888888889,4.686,148,1710.39,0.03333333333333333,Medium Value
12406.0,2011-06-09 10:23:00,2011-11-17 19:22:00,105,3415.3,162,32.52666666666667,1515.831780821918,21,21.0820987654321,5.4,High Value
12407.0,2011-03-20 13:21:00,2011-10-21 10:11:00,77,1708.1200000000001,215,22.183376623376624,1006.1528767123289,49,7.9447441860465124,7.166666666666667,High Value
12408.0,2011-03-24 14:46:00,2011-11-07 12:27:00,105,2888.55,228,27.51,1804.3545205479452,32,12.669078947368423,7.6,High Value
12409.0,2011-06-10 12:19:00,2011-09-22 10:38:00,109,11072.67,104,101.58412844036697,3154.9525479452054,78,106.46798076923076,3.466666666666667,High Value
12410.0,2011-02-04 10:38:00,2011-02-04 10:39:00,26,693.3299999999999,1,26.666538461538458,1.8995342465753422,308,693.3299999999999,0.03333333333333333,Low Value
12412.0,2011-06-23 13:51:00,2011-09-26 10:16:00,61,1226.88,95,20.112786885245903,319.32493150684934,74,12.914526315789475,3.1666666666666665,Medium Value
12413.0,2011-01-06 16:12:00,2011-10-04 09:00:00,38,758.1,271,19.95,562.8632876712329,66,2.797416974169742,9.033333333333333,High Value
12414.0,2011-02-02 14:51:00,2011-05-06 14:51:00,18,562.41,94,31.244999999999997,144.83983561643834,216,5.983085106382978,3.1333333333333333,Medium Value
12415.0,2011-01-06 11:12:00,2011-11-15 14:22:00,714,124914.53,314,174.95032212885152,107460.7189589041,23,397.816974522293,10.466666666666667,High Value
12417.0,2010-12-17 11:51:00,2011-12-06 14:52:00,192,3649.1,355,19.005729166666665,3549.124657534246,2,10.279154929577464,11.833333333333334,High Value
12418.0,2011-08-19 11:08:00,2011-08-19 11:08:00,34,668.58,1,19.664117647058823,1.8317260273972604,112,668.58,0.03333333333333333,Low Value
12420.0,2011-10-07 08:55:00,2011-10-07 08:55:00,29,600.39,1,20.70310344827586,1.644904109589041,63,600.39,0.03333333333333333,Low Value
12421.0,2011-01-24 15:09:00,2011-11-24 09:07:00,45,807.04,304,17.93422222222222,672.1648219178082,15,2.654736842105263,10.133333333333333,High Value
12422.0,2011-01-19 09:13:00,2011-09-05 09:48:00,39,803.5600000000001,230,20.604102564102565,506.3528767123288,95,3.4937391304347827,7.666666666666667,Medium Value
12423.0,2010-12-21 10:54:00,2011-12-09 10:10:00,125,1859.31,353,14.87448,1798.182,0,5.267167138810198,11.766666666666667,High Value
12424.0,2011-06-30 12:06:00,2011-06-30 12:06:00,30,1760.96,1,58.69866666666667,4.82454794520548,162,1760.96,0.03333333333333333,Medium Value
12425.0,2011-09-22 17:31:00,2011-09-22 17:31:00,36,777.2,1,21.58888888888889,2.1293150684931508,77,777.2,0.03333333333333333,Low Value
12426.0,2011-05-29 12:26:00,2011-05-29 12:26:00,30,582.73,1,19.424333333333333,1.5965205479452056,194,582.73,0.03333333333333333,Low Value
12427.0,2010-12-03 10:44:00,2011-11-18 08:56:00,31,825.8,350,26.638709677419353,791.8630136986301,21,2.3594285714285714,11.666666666666666,High Value
12428.0,2011-03-01 09:33:00,2011-11-14 08:22:00,294,7956.46,258,27.062789115646257,5624.0183013698625,25,30.838992248062016,8.6,High Value
12429.0,2010-12-09 12:05:00,2011-11-30 17:22:00,97,3750.4,357,38.66391752577319,3668.199452054794,8,10.50532212885154,11.9,High Value
12430.0,2011-10-27 15:09:00,2011-10-27 15:09:00,11,256.4,1,23.30909090909091,0.7024657534246574,42,256.4,0.03333333333333333,Low Value
12431.0,2010-12-01 10:03:00,2011-11-04 11:55:00,234,6419.95,339,27.43568376068376,5962.638493150685,35,18.937905604719763,11.3,High Value
